Date,Predicted_Close
2026-04-21,190.70713290907375
2026-04-22,191.24440998743052
2026-04-23,191.7816870657873
2026-04-24,192.31896414414408
2026-04-27,192.85624122250087
2026-04-28,193.39351830085764
2026-04-29,193.93079537921443
2026-04-30,194.4680724575712
2026-05-01,195.005349535928
2026-05-04,195.54262661428476
2026-05-05,196.07990369264155
2026-05-06,196.61718077099832
2026-05-07,197.1544578493551
2026-05-08,197.69173492771188
2026-05-11,198.22901200606867
2026-05-12,198.76628908442544
2026-05-13,199.30356616278223
2026-05-14,199.840843241139
2026-05-15,200.3781203194958
2026-05-18,200.91539739785256
2026-05-19,201.45267447620935
2026-05-20,201.98995155456612
2026-05-21,202.5272286329229
2026-05-22,203.06450571127968
2026-05-25,203.60178278963647
2026-05-26,204.13905986799324
2026-05-27,204.67633694635003
2026-05-28,205.2136140247068
2026-05-29,205.7508911030636
2026-06-01,206.28816818142036
2026-06-02,206.82544525977715
2026-06-03,207.36272233813392
2026-06-04,207.89999941649072
2026-06-05,208.43727649484748
2026-06-08,208.97455357320428
2026-06-09,209.51183065156104
2026-06-10,210.04910772991784
2026-06-11,210.5863848082746
2026-06-12,211.1236618866314
2026-06-15,211.66093896498816
2026-06-16,212.19821604334496
2026-06-17,212.73549312170172
2026-06-18,213.27277020005852
2026-06-19,213.81004727841528
2026-06-22,214.34732435677208
2026-06-23,214.88460143512884
2026-06-24,215.42187851348564
2026-06-25,215.9591555918424
2026-06-26,216.4964326701992
2026-06-29,217.03370974855596
2026-06-30,217.57098682691276
2026-07-01,218.10826390526952
2026-07-02,218.64554098362632
2026-07-03,219.18281806198308
2026-07-06,219.72009514033988
2026-07-07,220.25737221869664
2026-07-08,220.79464929705344
2026-07-09,221.3319263754102
2026-07-10,221.869203453767
2026-07-13,222.40648053212377
2026-07-14,222.94375761048056
2026-07-15,223.48103468883733
2026-07-16,224.01831176719412
